metric_name,score_calculated_ts,target,metric_logic,day_score,day_numerator,day_denominator,week_score,week_numerator,week_denominator,month_score,month_numerator,month_denominator,quarter_score,quarter_numerator,quarter_denominator,latest_score_flag
CODE ENFORCEMENT TRASH COLLECTION,2026-04-10 10:58:10,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,55.0,55.0,1.14864864864865,272.0,296.0,1.12049117421335,1168.0,1303.0,1.12563543936093,2480.0,2754.0,0
CODE ENFORCEMENT TRASH COLLECTION,2026-05-16 07:20:18,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,16.0,16.0,1.23062015503876,254.0,258.0,1.22156783103168,1203.0,1231.0,1.15846864056033,2911.0,3141.0,1
EMS RESPONSE TIME,2026-03-25 11:24:53,6.0,target / median,0.845070422535211,6.0,7.1,0.913705583756345,6.0,6.56666666666667,0.861244019138756,6.0,6.96666666666667,0.878048780487805,6.0,6.83333333333333,0
EMS RESPONSE TIME,2026-03-31 10:03:57,6.0,target / median,,6.0,,0.918367346938776,6.0,6.53333333333333,0.861244019138756,6.0,6.96666666666667,0.878048780487805,6.0,6.83333333333333,0
EMS RESPONSE TIME,2026-04-07 11:36:53,6.0,target / median,0.925449871465296,6.0,6.48333333333333,0.926640926640927,6.0,6.475,0.9,6.0,6.66666666666667,0.878048780487805,6.0,6.83333333333333,0
EMS RESPONSE TIME,2026-04-10 10:58:07,6.0,target / median,,6.0,,0.926640926640927,6.0,6.475,0.9,6.0,6.66666666666667,0.878048780487805,6.0,6.83333333333333,0
EMS RESPONSE TIME,2026-05-16 07:20:15,6.0,target / median,,6.0,,0.962566844919786,6.0,6.23333333333333,0.920716112531969,6.0,6.51666666666667,0.893300248138958,6.0,6.71666666666667,1
GRAFFITI ON-TIME %,2026-03-25 11:25:03,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,0.833333333333333,10.0,15.0,1.0,4.0,5.0,1.14864864864865,34.0,37.0,0
GRAFFITI ON-TIME %,2026-03-31 10:04:00,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,4.0,4.0,1.10294117647059,15.0,17.0,1.0,4.0,5.0,1.14864864864865,34.0,37.0,0
GRAFFITI ON-TIME %,2026-04-07 11:36:55,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,1.0,1.0,1.25,7.0,7.0,1.015625,39.0,48.0,1.05072463768116,58.0,69.0,0
GRAFFITI ON-TIME %,2026-04-10 10:58:08,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,1.25,7.0,7.0,1.015625,39.0,48.0,1.05072463768116,58.0,69.0,0
GRAFFITI ON-TIME %,2026-05-16 07:20:16,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,0.795454545454545,28.0,44.0,0.73051948051948,45.0,77.0,0.846153846153846,88.0,130.0,1
HOMICIDES (TREND),2026-03-25 11:25:00,,historical_average / current_average,,0.0357142857142857,,,0.0357142857142857,,3.16666666666667,0.113095238095238,0.0357142857142857,2.58792775665399,0.115019011406844,0.0444444444444444,0
HOMICIDES (TREND),2026-03-31 10:03:58,,historical_average / current_average,,0.0595238095238095,,,0.0595238095238095,,3.16666666666667,0.113095238095238,0.0357142857142857,2.58792775665399,0.115019011406844,0.0444444444444444,0
HOMICIDES (TREND),2026-04-07 11:36:54,,historical_average / current_average,,0.0714285714285714,,,0.0714285714285714,,1.83333333333333,0.0591397849462366,0.032258064516129,2.1875,0.0972222222222222,0.0444444444444444,0
HOMICIDES (TREND),2026-04-10 10:58:08,,historical_average / current_average,,0.0714285714285714,,,0.0714285714285714,,1.83333333333333,0.0591397849462366,0.032258064516129,2.1875,0.0972222222222222,0.0444444444444444,0
HOMICIDES (TREND),2026-05-16 07:20:16,,historical_average / current_average,,0.19047619047619,,1.33333333333333,0.19047619047619,0.142857142857143,,0.0972222222222222,,3.95833333333333,0.0889513108614232,0.0224719101123595,1
LIBRARY USERS,2026-03-25 11:24:48,,current_average / historical_average,1.80921194835594,21789.0,12043.3650793651,1.74962964525023,21071.4285714286,12043.3650793651,1.69116001820558,20569.0357142857,12162.6785714286,1.69447520822051,20327.9666666667,11996.6149802891,0
LIBRARY USERS,2026-03-31 10:03:56,,current_average / historical_average,1.915888502476,23103.0,12058.6349206349,1.7430070528397,21018.2857142857,12058.6349206349,1.69116001820558,20569.0357142857,12162.6785714286,1.69447520822051,20327.9666666667,11996.6149802891,0
LIBRARY USERS,2026-04-07 11:36:51,,current_average / historical_average,1.96558607664539,23491.0,11951.1428571429,1.73922398336083,20785.7142857143,11951.1428571429,1.75093032440659,21149.6129032258,12079.0716845878,1.71261245989076,20989.6222222222,12255.9088607595,0
LIBRARY USERS,2026-04-10 10:58:06,,current_average / historical_average,1.68209854407229,20103.0,11951.1428571429,1.73922398336083,20785.7142857143,11951.1428571429,1.75093032440659,21149.6129032258,12079.0716845878,1.71261245989076,20989.6222222222,12255.9088607595,0
LIBRARY USERS,2026-05-16 07:20:14,,current_average / historical_average,,,11632.7419354839,1.77338118808939,20629.2857142857,11632.7419354839,1.78688807031805,20768.6666666667,11622.8134328358,1.74346117305881,20838.5505617978,11952.4030037547,1
MISSED TRASH ON-TIME %,2026-03-25 11:25:04,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,15.0,15.0,1.21268656716418,65.0,67.0,1.19827586206897,556.0,580.0,1.19527829893684,1529.0,1599.0,0
