period_type,as_of_date,score,metric_count,source,previous_score,change
day,2016-08-05 00:00:00,1.0718068,,historical_city_aggregate,1.0834308,-0.011623999999999857
day,2016-08-08 00:00:00,1.3124936,,historical_city_aggregate,1.0718068,0.24068679999999998
day,2016-08-09 00:00:00,1.1707447,,historical_city_aggregate,1.3124936,-0.14174890000000007
day,2016-08-10 00:00:00,1.0669323,,historical_city_aggregate,1.1707447,-0.10381240000000003
day,2016-08-11 00:00:00,1.3154009,,historical_city_aggregate,1.0669323,0.24846860000000004
day,2016-08-12 00:00:00,1.1849992,,historical_city_aggregate,1.3154009,-0.13040169999999995
day,2016-08-15 00:00:00,1.1780274,,historical_city_aggregate,1.1849992,-0.0069718000000000835
day,2016-08-16 00:00:00,1.0666815,,historical_city_aggregate,1.1780274,-0.11134589999999989
day,2016-08-17 00:00:00,1.3381722,,historical_city_aggregate,1.0666815,0.2714907
day,2016-08-18 00:00:00,1.1750031,,historical_city_aggregate,1.3381722,-0.16316909999999996
day,2016-08-19 00:00:00,1.2590669,,historical_city_aggregate,1.1750031,0.08406380000000002
day,2016-08-22 00:00:00,1.1106093,,historical_city_aggregate,1.2590669,-0.1484576000000002
day,2016-08-23 00:00:00,1.181029,,historical_city_aggregate,1.1106093,0.0704197000000002
day,2016-08-24 00:00:00,1.2544545,,historical_city_aggregate,1.181029,0.07342549999999992
day,2016-08-25 00:00:00,1.0859278,,historical_city_aggregate,1.2544545,-0.16852669999999992
day,2016-08-26 00:00:00,1.1866967,,historical_city_aggregate,1.0859278,0.10076889999999983
day,2016-08-29 00:00:00,1.1526763,,historical_city_aggregate,1.1866967,-0.03402039999999995
day,2016-08-30 00:00:00,1.2290263,,historical_city_aggregate,1.1526763,0.07634999999999992
day,2016-08-31 00:00:00,1.2222174,,historical_city_aggregate,1.2290263,-0.006808900000000007
day,2016-09-01 00:00:00,1.2446527,,historical_city_aggregate,1.2222174,0.022435300000000158
day,2016-09-02 00:00:00,1.1912908,,historical_city_aggregate,1.2446527,-0.05336190000000007
day,2016-09-05 00:00:00,1.1477608,,historical_city_aggregate,1.1912908,-0.04353000000000007
day,2016-09-06 00:00:00,1.2121625,,historical_city_aggregate,1.1477608,0.06440170000000012
day,2016-09-07 00:00:00,1.2981931,,historical_city_aggregate,1.2121625,0.08603059999999996
day,2016-09-08 00:00:00,1.1228422,,historical_city_aggregate,1.2981931,-0.17535089999999998
day,2016-09-09 00:00:00,0.9994644,,historical_city_aggregate,1.1228422,-0.12337779999999998
day,2016-09-12 00:00:00,1.2297078,,historical_city_aggregate,0.9994644,0.23024339999999988
day,2016-09-13 00:00:00,1.187087,,historical_city_aggregate,1.2297078,-0.0426207999999999
day,2016-09-14 00:00:00,1.0606362,,historical_city_aggregate,1.187087,-0.12645079999999997
day,2016-09-15 00:00:00,1.0824006,,historical_city_aggregate,1.0606362,0.021764399999999906
day,2016-09-16 00:00:00,1.1553054,,historical_city_aggregate,1.0824006,0.0729048000000001
day,2016-09-19 00:00:00,1.0617101,,historical_city_aggregate,1.1553054,-0.09359530000000005
day,2016-09-20 00:00:00,1.0740079,,historical_city_aggregate,1.0617101,0.012297800000000025
day,2016-09-21 00:00:00,1.1170467,,historical_city_aggregate,1.0740079,0.04303879999999993
day,2016-09-22 00:00:00,1.067465,,historical_city_aggregate,1.1170467,-0.04958169999999984
day,2016-09-23 00:00:00,1.1173438,,historical_city_aggregate,1.067465,0.04987879999999989
day,2016-09-26 00:00:00,1.0030294,,historical_city_aggregate,1.1173438,-0.11431440000000004
day,2016-09-27 00:00:00,1.2112773,,historical_city_aggregate,1.0030294,0.20824789999999993
day,2016-09-28 00:00:00,1.0756616,,historical_city_aggregate,1.2112773,-0.13561569999999978
day,2016-09-29 00:00:00,1.0784757,,historical_city_aggregate,1.0756616,0.0028140999999999305
day,2016-09-30 00:00:00,1.0695526,,historical_city_aggregate,1.0784757,-0.008923100000000073
day,2016-10-03 00:00:00,1.0541358,,historical_city_aggregate,1.0695526,-0.015416799999999897
day,2016-10-04 00:00:00,1.1828594,,historical_city_aggregate,1.0541358,0.12872359999999983
day,2016-10-05 00:00:00,1.0824046,,historical_city_aggregate,1.1828594,-0.10045479999999984
day,2016-10-06 00:00:00,1.0283981,,historical_city_aggregate,1.0824046,-0.05400650000000007
day,2016-10-07 00:00:00,1.1444685,,historical_city_aggregate,1.0283981,0.11607040000000013
day,2016-10-10 00:00:00,1.061027,,historical_city_aggregate,1.1444685,-0.08344150000000017
day,2016-10-11 00:00:00,1.3290144,,historical_city_aggregate,1.061027,0.2679874
day,2016-10-12 00:00:00,1.0487383,,historical_city_aggregate,1.3290144,-0.28027610000000003
day,2016-10-13 00:00:00,1.2034502,,historical_city_aggregate,1.0487383,0.15471190000000012
day,2016-10-14 00:00:00,1.0613535,,historical_city_aggregate,1.2034502,-0.14209669999999996
day,2016-10-17 00:00:00,1.1405603,,historical_city_aggregate,1.0613535,0.07920679999999991
day,2016-10-18 00:00:00,1.2427179,,historical_city_aggregate,1.1405603,0.10215759999999996
day,2016-10-19 00:00:00,1.1378714,,historical_city_aggregate,1.2427179,-0.10484649999999984
day,2016-10-20 00:00:00,1.1340392,,historical_city_aggregate,1.1378714,-0.0038322000000001744
day,2016-10-21 00:00:00,1.0394821,,historical_city_aggregate,1.1340392,-0.09455709999999984
day,2016-10-24 00:00:00,0.9787592,,historical_city_aggregate,1.0394821,-0.060722900000000024
day,2016-10-25 00:00:00,1.148923,,historical_city_aggregate,0.9787592,0.17016379999999987
day,2016-10-26 00:00:00,1.1396842,,historical_city_aggregate,1.148923,-0.00923879999999988
day,2016-10-27 00:00:00,1.050021,,historical_city_aggregate,1.1396842,-0.08966319999999994
day,2016-10-28 00:00:00,0.9813979,,historical_city_aggregate,1.050021,-0.06862310000000005
day,2016-10-31 00:00:00,1.1245463,,historical_city_aggregate,0.9813979,0.14314839999999995
day,2016-11-01 00:00:00,1.0313911,,historical_city_aggregate,1.1245463,-0.0931552
